Район,АО,Население,Площадь
Академический,ЮЗАО,114228,5.83
Алексеевский,СВАО,77681,5.29
Алтуфьевский,СВАО,55741,3.25
Арбат,ЦАО,36246,2.11
Аэропорт,САО,81833,4.58
Бабушкинский,СВАО,88627,5.07
Басманный,ЦАО,111289,8.37
Беговой,САО,43190,5.56
Бескудниковский,САО,79896,3.3
Бибирево,СВАО,158797,6.45
Бирюлёво Восточное,ЮАО,156160,14.77
Бирюлёво Западное,ЮАО,85308,8.51
Богородское,ВАО,107571,10.24
Братеево,ЮАО,101271,7.63
Бутырский,СВАО,71703,5.04
Вешняки,ВАО,119585,10.72
Внуково,НАО,25182,91.01
Войковский,САО,72173,6.61
Восточное Дегунино,САО,101167,3.77
Восточное Измайлово,ВАО,73857,3.85
Восточный,ВАО,12454,3.2
Выхино-Жулебино,ЮВАО,241326,14.97
Гагаринский,ЮЗАО,80493,5.5
Головинский,САО,106612,8.93
Гольяново,ВАО,164715,14.99
Даниловский,ЮАО,104272,12.6
Дмитровский,САО,103496,7.29
Донской,ЮАО,51291,5.73
Дорогомилово,ЗАО,75669,7.95
Замоскворечье,ЦАО,55293,4.32
Западное Дегунино,САО,84743,7.53
Зюзино,ЮЗАО,123288,5.45
Зябликово,ЮАО,133658,4.38
Ивановское,ВАО,125062,10.19
Измайлово,ВАО,108666,15.24
Капотня,ЮВАО,32161,8.06
Коньково,ЮЗАО,152544,7.18
Коптево,САО,103676,5.38
Косино-Ухтомский,ВАО,89438,15.05
Котловка,ЮЗАО,65708,3.94
Красносельский,ЦАО,45851,4.96
Крылатское,ЗАО,82363,12.04
Крюково,ЗелАО,110660,10.49
Кузьминки,ЮВАО,139880,8.15
Кунцево,ЗАО,151447,16.56
Куркино,СЗАО,33298,7.9
Левобережный,САО,55420,8.0
Лефортово,ЮВАО,109711,9.06
Лианозово,СВАО,84105,5.79
Ломоносовский,ЮЗАО,87044,3.34
Лосиноостровский,СВАО,83136,5.54
Люблино,ЮВАО,184071,17.41
Марфино,СВАО,36742,2.26
Марьина Роща,СВАО,62191,4.68
Марьино,ЮВАО,272278,11.91
Матушкино,ЗелАО,43049,4.38
Метрогородок,ВАО,40122,27.57
Мещанский,ЦАО,55635,4.6
Митино,СЗАО,198194,12.67
Можайский,ЗАО,145961,10.73
Молжаниновский,САО,13337,21.78
Москворечье-Сабурово,ЮАО,86969,9.3
Нагатино-Садовники,ЮАО,83390,8.17
Нагатинский Затон,ЮАО,120779,9.8
Нагорный,ЮАО,77073,5.42
Некрасовка,ЮВАО,112860,0.11470000000000001
Нижегородский,ЮВАО,50637,7.57
Новогиреево,ВАО,99348,4.45
Новокосино,ВАО,107461,3.6
Ново-Переделкино,ЗАО,122058,8.48
Обручевский,ЮЗАО,87258,6.11
Орехово-Борисово Северное,ЮАО,124886,7.67
Орехово-Борисово Южное,ЮАО,146959,6.94
Останкинский,СВАО,64840,12.46
Отрадное,СВАО,187737,10.18
Очаково-Матвеевское,ЗАО,126535,17.54
Перово,ВАО,134308,9.73
Печатники,ЮВАО,89544,17.89
Покровское-Стрешнево,СЗАО,67364,12.9
Преображенское,ВАО,87933,5.61
Пресненский,ЦАО,127506,11.7
Проспект Вернадского,ЗАО,65316,4.65
Раменки,ЗАО,151931,18.54
Ростокино,СВАО,52115,3.54
Рязанский,ЮВАО,108657,6.49
Савёлки,ЗелАО,36947,8.13
Савёловский,САО,60149,2.7
Свиблово,СВАО,60013,4.41
Северное Бутово,ЮЗАО,97516,9.13
Северное Измайлово,ВАО,84957,4.2
Северное Медведково,СВАО,129632,5.66
Северное Тушино,СЗАО,172055,9.4
Северный,СВАО,55740,10.29
Силино,ЗелАО,42047,10.4
Сокол,САО,57677,3.72
Соколиная Гора,ВАО,92805,7.84
Сокольники,ВАО,60396,10.28
Солнцево,ЗАО,126309,11.29
Старое Крюково,ЗелАО,37824,3.81
Строгино,СЗАО,163074,16.84
Таганский,ЦАО,134759,8.01
Тверской,ЦАО,75735,7.27
Текстильщики,ЮВАО,101550,5.92
Тёплый Стан,ЮЗАО,131899,7.5
Тимирязевский,САО,82774,10.43
Тропарёво-Никулино,ЗАО,128029,11.27
Филёвский Парк,ЗАО,112388,9.62
Фили-Давыдково,ЗАО,111926,6.96
Хамовники,ЦАО,105094,10.08
Ховрино,САО,96233,5.73
Хорошёво-Мнёвники,СЗАО,182497,17.18
Хорошёвский,САО,75533,9.88
Царицыно,ЮАО,119021,8.43
Черёмушки,ЮЗАО,107951,5.52
Чертаново Северное,ЮАО,109640,5.4
Чертаново Центральное,ЮАО,111983,6.52
Чертаново Южное,ЮАО,156092,9.38
Щукино,СЗАО,110486,7.69
Южное Бутово,ЮЗАО,211116,25.54
Южное Медведково,СВАО,88150,3.88
Южное Тушино,СЗАО,112628,7.94
Южнопортовый,ЮВАО,73112,4.53
Якиманка,ЦАО,27022,4.8
Ярославский,СВАО,98861,7.99
Ясенево,ЮЗАО,176505,25.37
